nohup: ignoring input
/home/asc23/lcy/gnn/TCS/layer.py:14: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  timestamps_tensors = [torch.tensor(timestamps).float() for timestamps in timestamps_list]
edge_index shape: torch.Size([2, 119670])
edge_attr shape: torch.Size([119670, 1])
successfully read graph
successfully split graph
begin to train
Epoch 26, Loss: 0.0630
Epoch 27, Loss: 0.1001
Epoch 28, Loss: 0.0433
Epoch 29, Loss: 0.3382
Epoch 30, Loss: 0.0649
Epoch 31, Loss: 0.0538
Epoch 32, Loss: 0.3369
Epoch 33, Loss: 0.3460
Epoch 34, Loss: 0.0278
Epoch 35, Loss: 0.1435
Epoch 36, Loss: 0.0636
Epoch 37, Loss: 0.2434
Epoch 38, Loss: 0.0397
Epoch 39, Loss: 0.0586
Epoch 40, Loss: 0.1071
Epoch 41, Loss: 0.0355
Epoch 42, Loss: 0.0355
Epoch 43, Loss: 0.0417
Epoch 44, Loss: 0.3523
Epoch 45, Loss: 0.0327
Epoch 46, Loss: 0.1232
Epoch 47, Loss: 0.3337
Epoch 48, Loss: 0.0523
Epoch 49, Loss: 0.0586
社区的时间割 TC(S): 0.7602
社区的时间密度 TD(S): 0.0024
社区节点数: 41, 邻居节点数: 41, 社区节点占比: 5.35%
Epoch 50, Loss: 0.0806
Epoch 1, Loss: 0.1072
Epoch 2, Loss: 0.2265
Epoch 3, Loss: 0.2594
Epoch 4, Loss: 0.0394
Epoch 5, Loss: 0.3502
Epoch 6, Loss: 0.1268
Epoch 7, Loss: 0.0704
Epoch 8, Loss: 0.0250
Epoch 9, Loss: 0.2977
Epoch 10, Loss: 0.3160
Epoch 11, Loss: 0.0556
Epoch 12, Loss: 0.1589
Epoch 13, Loss: 0.0416
Epoch 14, Loss: 0.1637
Epoch 15, Loss: 0.1707
Epoch 16, Loss: 0.0492
Epoch 17, Loss: 0.0619
Epoch 18, Loss: 0.0195
Epoch 19, Loss: 0.0492
Epoch 20, Loss: 0.2571
Epoch 21, Loss: 0.4601
Epoch 22, Loss: 0.0467
Epoch 23, Loss: 0.0163
Epoch 24, Loss: 0.1760
Epoch 25, Loss: 0.1915
Epoch 26, Loss: 0.0935
Epoch 27, Loss: 0.0569
Epoch 28, Loss: 0.0377
Epoch 29, Loss: 0.0345
Epoch 30, Loss: 0.0400
Epoch 31, Loss: 0.0345
Epoch 32, Loss: 0.0789
Epoch 33, Loss: 0.1477
Epoch 34, Loss: 0.0751
Epoch 35, Loss: 0.2252
Epoch 36, Loss: 0.0535
Epoch 37, Loss: 0.0265
Epoch 38, Loss: 0.0868
Epoch 39, Loss: 0.1072
Epoch 40, Loss: 0.4109
Epoch 41, Loss: 0.0255
Epoch 42, Loss: 0.0546
Epoch 43, Loss: 0.3657
Epoch 44, Loss: 0.3829
Epoch 45, Loss: 0.0464
Epoch 46, Loss: 0.3268
Epoch 47, Loss: 0.0206
Epoch 48, Loss: 0.0440
Epoch 49, Loss: 0.0849
社区的时间割 TC(S): 0.7305
社区的时间密度 TD(S): 0.0062
社区节点数: 26, 邻居节点数: 26, 社区节点占比: 2.86%
Epoch 50, Loss: 0.1376
Epoch 1, Loss: 0.0098
Epoch 2, Loss: 0.1261
Epoch 3, Loss: 0.2336
Epoch 4, Loss: 0.1950
Epoch 5, Loss: 0.2587
Epoch 6, Loss: 0.0714
Epoch 7, Loss: 0.1181
Epoch 8, Loss: 0.1347
Epoch 9, Loss: 0.1723
Epoch 10, Loss: 0.5093
Epoch 11, Loss: 0.1579
Epoch 12, Loss: 0.1190
Epoch 13, Loss: 0.0388
Epoch 14, Loss: 0.1187
Epoch 15, Loss: 0.0603
Epoch 16, Loss: 0.0376
Epoch 17, Loss: 0.0513
Epoch 18, Loss: 0.1140
Epoch 19, Loss: 0.2016
Epoch 20, Loss: 0.1235
Epoch 21, Loss: 0.3655
Epoch 22, Loss: 0.0964
Epoch 23, Loss: 0.1188
Epoch 24, Loss: 0.0589
Epoch 25, Loss: 0.1362
Epoch 26, Loss: 0.1390
Epoch 27, Loss: 0.0046
Epoch 28, Loss: 0.1427
Epoch 29, Loss: 0.4180
Epoch 30, Loss: 0.2208
Epoch 31, Loss: 0.1229
Epoch 32, Loss: 0.1332
Epoch 33, Loss: 0.0592
Epoch 34, Loss: 0.1983
Epoch 35, Loss: 0.1939
Epoch 36, Loss: 0.1428
Epoch 37, Loss: 0.2536
Epoch 38, Loss: 0.0367
Epoch 39, Loss: 0.1228
Epoch 40, Loss: 0.2903
Epoch 41, Loss: 0.1884
Epoch 42, Loss: 0.1651
Epoch 43, Loss: 0.1633
Epoch 44, Loss: 0.1495
Epoch 45, Loss: 0.0426
Epoch 46, Loss: 0.3768
Epoch 47, Loss: 0.2309
Epoch 48, Loss: 0.1495
Epoch 49, Loss: 0.1203
社区的时间割 TC(S): 0.7635
社区的时间密度 TD(S): 0.0190
社区节点数: 15, 邻居节点数: 15, 社区节点占比: 1.71%
Epoch 50, Loss: 0.3613
Epoch 1, Loss: 0.2874
Epoch 2, Loss: 0.0678
Epoch 3, Loss: 0.4498
Epoch 4, Loss: 0.0347
Epoch 5, Loss: 0.1424
Epoch 6, Loss: 0.1420
Epoch 7, Loss: 0.0696
Epoch 8, Loss: 0.1203
Epoch 9, Loss: 0.0456
Epoch 10, Loss: 0.0444
Epoch 11, Loss: 0.0701
Epoch 12, Loss: 0.1491
Epoch 13, Loss: 0.0662
Epoch 14, Loss: 0.0779
Epoch 15, Loss: 0.2605
Epoch 16, Loss: 0.0646
Epoch 17, Loss: 0.0758
Epoch 18, Loss: 0.0698
Epoch 19, Loss: 0.1309
Epoch 20, Loss: 0.2118
Epoch 21, Loss: 0.0748
Epoch 22, Loss: 0.0677
Epoch 23, Loss: 0.0817
Epoch 24, Loss: 0.0539
Epoch 25, Loss: 0.1026
Epoch 26, Loss: 0.0819
Epoch 27, Loss: 0.1274
Epoch 28, Loss: 0.2289
Epoch 29, Loss: 0.0357
Epoch 30, Loss: 0.0686
Epoch 31, Loss: 0.1157
Epoch 32, Loss: 0.3636
Epoch 33, Loss: 0.0620
Epoch 34, Loss: 0.2965
Epoch 35, Loss: 0.1047
Epoch 36, Loss: 0.1018
Epoch 37, Loss: 0.0483
Epoch 38, Loss: 0.1171
Epoch 39, Loss: 0.2680
Epoch 40, Loss: 0.0767
Epoch 41, Loss: 0.0896
Epoch 42, Loss: 0.1391
Epoch 43, Loss: 0.2722
Epoch 44, Loss: 0.0386
Epoch 45, Loss: 0.1045
Epoch 46, Loss: 0.0966
Epoch 47, Loss: 0.1282
Epoch 48, Loss: 0.0641
Epoch 49, Loss: 0.1054
社区的时间割 TC(S): 0.7639
社区的时间密度 TD(S): 0.3333
社区节点数: 4, 邻居节点数: 4, 社区节点占比: 0.57%
Epoch 50, Loss: 0.0466
Epoch 1, Loss: 0.1365
Epoch 2, Loss: 0.0897
Epoch 3, Loss: 0.3094
Epoch 4, Loss: 0.0716
Epoch 5, Loss: 0.2585
Epoch 6, Loss: 0.0751
Epoch 7, Loss: 0.0484
Epoch 8, Loss: 0.2778
Epoch 9, Loss: 0.0334
Epoch 10, Loss: 0.2091
Epoch 11, Loss: 0.0822
Epoch 12, Loss: 0.5043
Epoch 13, Loss: 0.0923
Epoch 14, Loss: 0.0989
Epoch 15, Loss: 0.0740
Epoch 16, Loss: 0.3165
Epoch 17, Loss: 0.2568
Epoch 18, Loss: 0.0823
Epoch 19, Loss: 0.1273
Epoch 20, Loss: 0.0554
Epoch 21, Loss: 0.0733
Epoch 22, Loss: 0.0823
Epoch 23, Loss: 0.0777
Epoch 24, Loss: 0.1592
Epoch 25, Loss: 0.0949
Epoch 26, Loss: 0.0898
